name,company,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon,energy_source_level_1,energy_source_level_2,energy_source_level_3
Centrale Hemweg (HW-9),NUONENW,Nieuwe Hemweg 25,1041AA,Amsterdam,NL,432.0,Natural gas,,,,,,,Tennet_Q2,49W000000000045Y,52.40537,4.84482,Fossil fuels,Natural gas,
Centrale IJmond,NUON,Hoflaan 1,1951HJ,Velsen,NL,144.0,Other or unspecified energy sources,,,,,,,Tennet_Q4,,52.47155,4.63473,Other or unspecified energy sources,,
Centrale Lage Weide,NUON,Atoomweg 7-9,3542AA,Utrecht,NL,247.0,Natural gas,,,,,,,Tennet_Q4,49W000000000047U,52.10292,5.07137,Fossil fuels,Natural gas,
Centrale Maasvlakte (MV1),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,555.0,Hard coal,Steam turbine,,,,,,Tennet_Q2,49W000000000101D,51.96262,4.02152,Fossil fuels,Hard coal,
Centrale Maasvlakte (MV2),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,555.0,Hard coal,Steam turbine,,,,,,Tennet_Q3,49W000000000100F,51.96262,4.02152,Fossil fuels,Hard coal,
Centrale Maasvlakte (MV3),EON BENELUX,Europaweg 911,3199LD,Maasvlakte Rotterdam,NL,1068.0,Hard coal,Steam turbine,,,,,,Tennet_Q4,49W000000000102B,51.96262,4.02152,Fossil fuels,Hard coal,
Centrale Merwedekanaal,NUON,Keulsekade 181,3534AC,Utrecht,NL,227.0,Natural gas,,,,,,,Tennet_Q1,,52.10156,5.07981,Fossil fuels,Natural gas,
Centrale RoCa (RoCa3),EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,218.0,Natural gas,,,,,,,Tennet_Q4,49W0000000001047,51.95366,4.56155,Fossil fuels,Natural gas,
Centrale Swentibold,ESSENT ENERGY TRADING B.V.,Kampstraat 101,6163HE,Geleen,NL,225.0,Natural gas,,,,,,,Tennet_Q2,49W000000000061-,50.97971,5.80891,Fossil fuels,Natural gas,
Centrale Velsen (VN24),NUON,Hoflaan 1,1951HJ,Velsen,NL,459.0,Natural gas,,,,,,,Tennet_Q1,49W000000000046W,52.47155,4.63473,Fossil fuels,Natural gas,
Centrale Velsen (VN25),NUON,Hoflaan 1,1951HJ,Velsen,NL,375.0,Natural gas,,,,,,,Tennet_Q4,49W000000000046W,52.47155,4.63473,Fossil fuels,Natural gas,
Clauscentrale (A),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,640.0,Natural gas,,,,,,,Tennet_Q2,49W000000000069K,51.15409,5.90803,Fossil fuels,Natural gas,
Clauscentrale (C1),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310.0,Natural gas,,,,,,,Tennet_Q4,49W000000000069K,51.15409,5.90803,Fossil fuels,Natural gas,
Clauscentrale (C2),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310.0,Natural gas,,,,,,,Tennet_Q2,49W000000000069K,51.15409,5.90803,Fossil fuels,Natural gas,
Clauscentrale (C3),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310.0,Natural gas,,,,,,,Tennet_Q2,49W000000000069K,51.15409,5.90803,Fossil fuels,Natural gas,
Clauscentrale (C4),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,510.0,Other or unspecified energy sources,,,,,,,Tennet_Q4,49W000000000069K,51.15409,5.90803,Other or unspecified energy sources,,
Delesto (Del1),ESSENT ENERGY TRADING B.V.,Oosterhorn 4,9936HD,Farmsum,NL,180.0,Natural gas,,,,,,,Tennet_Q1,,53.31953,6.94811,Fossil fuels,Natural gas,
Delesto (Del2),ESSENT ENERGY TRADING B.V.,Oosterhorn 4,9936HD,Farmsum,NL,350.0,Natural gas,,,,,,,Tennet_Q4,,53.31953,6.94811,Fossil fuels,Natural gas,
Dongecentrale,ESSENT ENERGY TRADING B.V.,Centraleweg 12,4931NB,Geertruidenberg,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,51.695,4.84652,Fossil fuels,Natural gas,
EDH,EON BENELUX,De Constant Rebecqueplein 20,2518RA,Den Haag,NL,112.0,Natural gas,,,,,,,Tennet_Q3,49W0000000000342,52.07659,4.29065,Fossil fuels,Natural gas,
EHV,ESSENT ENERGY TRADING B.V.,Beukenlaan 2A,5651CD,Eindhoven,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,51.44944,5.45296,Fossil fuels,Natural gas,
ELSTA,DELTA ENERGY B.V.,Herbert H. Dowweg 5D,4542NM,Hoek,NL,475.0,Natural gas,,,,,,,Tennet_Q4,49W000000000048S,51.33319,3.78947,Fossil fuels,Natural gas,
ENSCH,ESSENT ENERGY TRADING B.V.,Marssteden 35,7547TE,Enschede,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,52.21397,6.82872,Fossil fuels,Natural gas,
ERICA,ESSENT ENERGY TRADING B.V.,Beekweg 12,7887TN,Erica,NL,63.0,Natural gas,,,,,,,Tennet_Q2,,52.69632,6.91411,Fossil fuels,Natural gas,
Eemscentrale (EC20),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,131.0,Natural gas,,,,,,,Tennet_Q2,49W000000000096H,53.43949,6.86165,Fossil fuels,Natural gas,
Eemscentrale (EC3),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,359.0,Natural gas,,,,,,,Tennet_Q3,49W000000000088G,53.43949,6.86165,Fossil fuels,Natural gas,
Eemscentrale (EC4),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,359.0,Natural gas,,,,,,,Tennet_Q4,49W000000000086K,53.43949,6.86165,Fossil fuels,Natural gas,
Eemscentrale (EC5),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,361.0,Natural gas,,,,,,,Tennet_Q3,49W000000000084O,53.43949,6.86165,Fossil fuels,Natural gas,
Eemscentrale (EC6),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,359.0,Natural gas,,,,,,,Tennet_Q4,49W000000000082S,53.43949,6.86165,Fossil fuels,Natural gas,
Eemscentrale (EC7),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,360.0,Natural gas,,,,,,,Tennet_Q1,49W000000000080W,53.43949,6.86165,Fossil fuels,Natural gas,
HM12,ESSENT ENERGY TRADING B.V.,Achterdijk 42,5705CB,Helmond,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,51.46341,5.68837,Fossil fuels,Natural gas,
HTB,ESSENT ENERGY TRADING B.V.,Zandzuigerstraat 8A,5222AH,'s Hertogenbosch,NL,32.0,Natural gas,,,,,,,Tennet_Q2,,51.70164,5.28009,Fossil fuels,Natural gas,
KLAZI,ESSENT ENERGY TRADING B.V.,Zwet 20,7891XJ,Klazienaveen,NL,63.0,Natural gas,,,,,,,Tennet_Q4,,52.73792,7.01368,Fossil fuels,Natural gas,
LD12,EON BENELUX,Langegracht 70,2312NV,Leiden,NL,83.0,Natural gas,,,,,,,Tennet_Q2,,52.16385,4.49419,Fossil fuels,Natural gas,
LWE5,NUON,Atoomweg 7-9,3542AA,Utrecht,NL,0.0,Natural gas,,,,,,,Tennet_Q4,,52.10292,5.07137,Fossil fuels,Natural gas,
MK11,NUON,Keulsekade 181,3534AC,Utrecht,NL,103.0,Natural gas,,,,,,,Tennet_Q2,49W000000000091R,52.10157,5.07982,Fossil fuels,Natural gas,
MVL380 Centrale Rotterdam 1,GDF SUEZ ENERGIE NEDERLAND NV,Missouriweg 69,3199LB,Maasvlakte Rotterdam,NL,731.0,Hard coal,Steam turbine,,,,,,Tennet_Q3,49W000000000078J,51.94496,4.06767,Fossil fuels,Hard coal,
Magnum Centrale (10),VATTENFALL,Huibertgatweg 1,9979XZ,Eemshaven,NL,437.0,Natural gas,,,,,,,Tennet_Q1,49W000000000044-,53.45149,6.85268,Fossil fuels,Natural gas,
Magnum Centrale (20),VATTENFALL,Huibertgatweg 1,9979XZ,Eemshaven,NL,437.0,Natural gas,,,,,,,Tennet_Q1,49W000000000044-,53.45149,6.85268,Fossil fuels,Natural gas,
Magnum Centrale (30),VATTENFALL,Huibertgatweg 1,9979XZ,Eemshaven,NL,437.0,Natural gas,,,,,,,Tennet_Q1,49W000000000044-,53.45149,6.85268,Fossil fuels,Natural gas,
Maxima Centrale (FL30),ELECTRABEL NEDERLAND NV,IJsselmeerdijk 101,2881RC,Lelystad,NL,0.0,Natural gas,,,,,,,Tennet_Q2,,52.57753,5.52959,Fossil fuels,Natural gas,
Maxima Centrale (FL4),ELECTRABEL NEDERLAND NV,IJsselmeerdijk 101,8221RC,Lelystad,NL,435.0,Natural gas,,,,,,,Tennet_Q2,49W000000000072V,52.57753,5.52959,Fossil fuels,Natural gas,
Maxima Centrale (FL5),ELECTRABEL NEDERLAND NV,IJsselmeerdijk 101,8221RC,Lelystad,NL,437.0,Natural gas,,,,,,,Tennet_Q2,49W000000000074R,52.57753,5.52959,Fossil fuels,Natural gas,
Moerdijk 1,RWE SUPPLY & TRADING NL B.V.,Middenweg 36,4782PM,Moerdijk,NL,348.0,Natural gas,,,,,,,Tennet_Q2,49W000000000063W,51.68506,4.58094,Fossil fuels,Natural gas,
Moerdijk 2,RWE SUPPLY & TRADING NL B.V.,Middenweg 36,4782PM,Moerdijk,NL,426.0,Natural gas,,,,,,,Tennet_Q2,49W000000000063W,51.68506,4.58094,Fossil fuels,Natural gas,
PU-1,NUON,Hertzstraat 2,1446TG,Purmerend,NL,67.0,Natural gas,,,,,,,Tennet_Q1,,52.51608,4.99524,Fossil fuels,Natural gas,
ROC1,EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,24.0,Natural gas,,,,,,,Tennet_Q2,,51.95369,4.5616,Fossil fuels,Natural gas,
ROC2,EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,24.0,Natural gas,,,,,,,Tennet_Q2,,51.95369,4.5616,Fossil fuels,Natural gas,
Rijnmond II,PVNED,Petroleumweg 44,3196KD,Rotterdam,NL,445.0,Natural gas,,,,,,,Tennet_Q4,49W000000000108-,51.89326,4.34721,Fossil fuels,Natural gas,
SAL,ESSENT ENERGY TRADING B.V.,Boortorenweg 27,7550BD,Hengelo (O),NL,60.0,Natural gas,,,,,,,Tennet_Q1,,52.24587,6.79479,Fossil fuels,Natural gas,
UCML,EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,79.0,Natural gas,,,,,,,Tennet_Q1,,51.95861,4.02609,Fossil fuels,Natural gas,
Willem Alexander Centrale,NUON,Roermondseweg 55,6081NT,Haelen,NL,249.0,Hard coal,Steam turbine,,,,,,Tennet_Q3,,51.22402,5.97085,Fossil fuels,Hard coal,
corus,CORUS STAAL B.V.,Wenkebachstraat 1,1951JZ,Velsen-Noord,NL,38.0,Other or unspecified energy sources,,,,,,,Tennet_Q1,,52.47708,4.58981,Other or unspecified energy sources,,
CYCOFOS TV2,,,,,FR,62.0,Other or unspecified energy sources,,,,,2009.0,,RTE,17W100P100P0352E,43.42801,4.88652,Other or unspecified energy sources,,
PROVENCE 4 BIOMASSE,,,,,FR,0.0,Biomass and biogas,,,,,,Commissioning year not reported due to duplicate entries,RTE,,,,Renewable energy,Bioenergy,Biomass and biogas
CORDEMAIS 4,,,,,FR,580.0,Hard coal,Steam turbine,,,,,,RTE,17W100P100P0236G,47.27712,-1.88012,Fossil fuels,Hard coal,
CORDEMAIS 5,,,,,FR,580.0,Hard coal,Steam turbine,,,,,,RTE,17W100P100P0237E,47.27712,-1.88012,Fossil fuels,Hard coal,
EMILE HUCHET 6,,,,,FR,595.0,Hard coal,Steam turbine,,,,1981.0,,RTE,17W100P100P0343F,49.15412,6.7047,Fossil fuels,Hard coal,
HAVRE 4,,,,,FR,580.0,Hard coal,Steam turbine,,,,,,RTE,17W100P100P0238C,49.47553,0.14711,Fossil fuels,Hard coal,
PROVENCE 5,,,,,FR,595.0,Hard coal,Steam turbine,,,,1984.0,,RTE,17W100P100P03469,46.46883,5.48957,Fossil fuels,Hard coal,
ARAMON 1,,,,,FR,0.0,Oil,,,,,2016.0,,RTE,17W100P100P0247B,43.88178,4.65851,Fossil fuels,Oil,
ARAMON 2,,,,,FR,0.0,Oil,,,,,2016.0,,RTE,17W100P100P02489,43.88178,4.65851,Fossil fuels,Oil,
ARRIGHI 1,,,,,FR,125.0,Oil,,,,,,,RTE,17W100P100P0255C,48.79151,2.41593,Fossil fuels,Oil,
ARRIGHI 2,,,,,FR,129.0,Oil,,,,,,,RTE,17W100P100P0256A,48.79151,2.41593,Fossil fuels,Oil,
BRENNILIS 1,,,,,FR,85.0,Oil,,,,,,,RTE,17W100P100P02586,48.35702,-3.87053,Fossil fuels,Oil,
BRENNILIS 2,,,,,FR,85.0,Oil,,,,,,,RTE,17W100P100P0260J,48.35702,-3.87053,Fossil fuels,Oil,
BRENNILIS 3,,,,,FR,134.0,Oil,,,,,,,RTE,17W100P100P0261H,48.35702,-3.87053,Fossil fuels,Oil,
CORDEMAIS 2,,,,,FR,685.0,Oil,,,,,,Commissioning year not reported due to duplicate entries,RTE,17W100P100P02497,47.27712,-1.88012,Fossil fuels,Oil,
CORDEMAIS 3,,,,,FR,685.0,Oil,,,,,,Commissioning year not reported due to duplicate entries,RTE,17W100P100P0250M,47.27712,-1.88012,Fossil fuels,Oil,
DIRINON 1,,,,,FR,85.0,Oil,,,,,,,RTE,17W100P100P0263D,48.39036,-4.26373,Fossil fuels,Oil,
DIRINON 2,,,,,FR,85.0,Oil,,,,,,,RTE,17W100P100P02659,48.39036,-4.26373,Fossil fuels,Oil,
MONTEREAU 5,,,,,FR,185.0,Oil,,,,,,,RTE,17W100P100P0270G,48.38045,2.85108,Fossil fuels,Oil,
MONTEREAU 6,,,,,FR,185.0,Oil,,,,,,,RTE,17W100P100P0271E,48.38045,2.85108,Fossil fuels,Oil,
PORCHEVILLE 1,,,,,FR,585.0,Oil,,,,,,Commissioning year not reported due to duplicate entries,RTE,17W100P100P0251K,48.97117,1.76029,Fossil fuels,Oil,
PORCHEVILLE 2,,,,,FR,585.0,Oil,,,,,,Commissioning year not reported due to duplicate entries,RTE,17W100P100P0252I,48.97117,1.76029,Fossil fuels,Oil,
PORCHEVILLE 3,,,,,FR,535.0,Oil,,,,,,Commissioning year not reported due to duplicate entries,RTE,17W100P100P0253G,48.97117,1.76029,Fossil fuels,Oil,
PORCHEVILLE 4,,,,,FR,585.0,Oil,,,,,,Commissioning year not reported due to duplicate entries,RTE,17W100P100P0254E,48.97117,1.76029,Fossil fuels,Oil,
VAIRES 1,,,,,FR,181.0,Oil,,,,,,,RTE,17W100P100P02675,48.87349,2.65533,Fossil fuels,Oil,
VAIRES 2,,,,,FR,179.0,Oil,,,,,,,RTE,17W100P100P02683,48.87349,2.65533,Fossil fuels,Oil,
VAIRES 3,,,,,FR,182.0,Oil,,,,,,,RTE,17W100P100P02691,48.87349,2.65533,Fossil fuels,Oil,
AMFARD14,,,,,FR,130.0,Natural gas,,,,,2004.0,,RTE,17W100P100P0353C,,,Fossil fuels,Natural gas,
AMFARD15,,,,,FR,130.0,Natural gas,,,,,2004.0,,RTE,17W100P100P03493,,,Fossil fuels,Natural gas,
BLENOD 5,,,,,FR,427.0,Natural gas,,,,,,,RTE,17W100P100P0243J,48.86959,6.08377,Fossil fuels,Natural gas,
BOUCHAIN 7,,,,,FR,575.0,Natural gas,,,,,2016.0,,RTE,,50.29774,3.31429,Fossil fuels,Natural gas,
COMBIGOLFE,,,,,FR,425.0,Natural gas,,,,,2010.0,,RTE,17W100P100P0337A,43.41616,4.86974,Fossil fuels,Natural gas,
CYCOFOS,,,,,FR,428.0,Natural gas,,,,,2009.0,,RTE,17W100P100P0351G,43.42801,4.88652,Fossil fuels,Natural gas,
Croix-de-Metz,,,,,FR,413.0,Natural gas,,,,,2012.0,,RTE,17W100P100P0340L,48.69336,5.91468,Fossil fuels,Natural gas,
DK6,,,,,FR,796.0,Natural gas,,,,,2005.0,,RTE,17W100P100P0350I,51.04628,2.31835,Fossil fuels,Natural gas,
EMILE HUCHET 7,,,,,FR,413.0,Natural gas,,,,,2010.0,,RTE,17W100P100P0344D,49.15412,6.7047,Fossil fuels,Natural gas,
EMILE HUCHET 8,,,,,FR,413.0,Natural gas,,,,,2010.0,,RTE,17W100P100P0345B,49.15412,6.7047,Fossil fuels,Natural gas,
FR-GA-MORANT1,,,,,FR,401.0,Natural gas,,,,,2016.0,,RTE,17W100P100P0318E,46.27282,3.30095,Fossil fuels,Natural gas,
GENNEVILLIERS 1,,,,,FR,203.0,Natural gas,,,,,,,RTE,17W100P100P02667,48.93699,2.26144,Fossil fuels,Natural gas,
MARTIGUES PONTEAU 5,,,,,FR,465.0,Natural gas,,,,,,,RTE,17W100P100P0245F,43.35822,5.02112,Fossil fuels,Natural gas,
MARTIGUES PONTEAU 6,,,,,FR,465.0,Natural gas,,,,,,,RTE,17W100P100P0246D,43.35822,5.02112,Fossil fuels,Natural gas,
Pont-sur-Sambre,,,,,FR,412.0,Natural gas,,,,,2009.0,,RTE,17W100P100P0341J,50.22915,3.86807,Fossil fuels,Natural gas,
SPEM,,,,,FR,435.0,Natural gas,,,,,2010.0,,RTE,17W100P100P0334G,47.30265,-2.14028,Fossil fuels,Natural gas,
SPEM Pointe,,,,,FR,45.0,Natural gas,,,,,2012.0,,RTE,17W100P100P0335E,47.30265,-2.14028,Fossil fuels,Natural gas,
CHEYLAS,,,,,FR,485.0,Hydro,Pumped storage,,,,,,RTE,17W100P100P0273A,45.3846,6.00207,Renewable energy,Hydro,
COCHE,,,,,FR,320.0,Hydro,Pumped storage,,,,,,RTE,17W100P100P02748,45.49667,6.51038,Renewable energy,Hydro,
GRAND MAISON,,,,,FR,1690.0,Hydro,Pumped storage,,,,,,RTE,17W100P100P02756,45.20597,6.11719,Renewable energy,Hydro,
MONTEZIC,,,,,FR,910.0,Hydro,Pumped storage,,,,,,RTE,17W100P100P02772,44.73766,2.64342,Renewable energy,Hydro,
REVIN,,,,,FR,808.0,Hydro,Pumped storage,,,,,,RTE,17W100P100P02780,49.92556,4.61331,Renewable energy,Hydro,
SUPER BISSORTE,,,,,FR,742.3,Hydro,Pumped storage,,,,,,RTE,17W100P100P02764,45.1803,6.5797,Renewable energy,Hydro,
ASTON,,,,,FR,104.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0315K,42.77668,1.67671,Renewable energy,Hydro,
AVIGNON,,,,,FR,126.0,Hydro,Run-of-river,,,,1973.0,,RTE,17W100P100P0326F,43.97606,4.81721,Renewable energy,Hydro,
BAIX LOGIS NEUF 1,,,,,FR,140.0,Hydro,Run-of-river,,,,1960.0,,RTE,17W100P100P0322N,44.67605,4.78827,Renewable energy,Hydro,
BEAUCHASTEL,,,,,FR,198.0,Hydro,Run-of-river,,,,1963.0,,RTE,17W100P100P0321P,44.82397,4.81049,Renewable energy,Hydro,
BOURG les VALENCE,,,,,FR,180.0,Hydro,Run-of-river,,,,1968.0,,RTE,17W100P100P0320R,44.96128,4.87221,Renewable energy,Hydro,
CADEROUSSE,,,,,FR,156.0,Hydro,Run-of-river,,,,1975.0,,RTE,17W100P100P0325H,44.09606,4.72329,Renewable energy,Hydro,
CHASTANG,,,,,FR,293.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0302T,45.15185,2.00985,Renewable energy,Hydro,
COUESQUE,,,,,FR,119.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0313O,44.69609,2.58555,Renewable energy,Hydro,
DONZERE MONDRAGON,,,,,FR,348.0,Hydro,Run-of-river,,,,1952.0,,RTE,17W100P100P0324J,44.30368,4.74217,Renewable energy,Hydro,
FESSENHEIM,,,,,FR,175.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0303R,47.91466,7.57067,Renewable energy,Hydro,
GENISSIAT,,,,,FR,420.0,Hydro,Run-of-river,,,,1948.0,,RTE,17W100P100P0319C,46.05271,5.81285,Renewable energy,Hydro,
GERSTHEIM,,,,,FR,140.5,Hydro,Run-of-river,,,,,,RTE,17W100P100P0310U,48.40385,7.72775,Renewable energy,Hydro,
HERMILLON,,,,,FR,115.6,Hydro,Run-of-river,,,,,,RTE,17W100P100P0314M,45.28424,6.35799,Renewable energy,Hydro,
KEMBS,,,,,FR,162.1,Hydro,Run-of-river,,,,2016.0,,RTE,17W100P100P0307J,47.65534,7.51959,Renewable energy,Hydro,
MARCKOLSHEIM,,,,,FR,156.2,Hydro,Run-of-river,,,,,,RTE,17W100P100P0305N,48.15371,7.5898,Renewable energy,Hydro,
MAREGES,,,,,FR,150.0,Hydro,Run-of-river,,,,1935.0,,RTE,17W100P100P0328B,45.39171,2.36446,Renewable energy,Hydro,
MONTELIMAR,,,,,FR,295.0,Hydro,Run-of-river,,,,1957.0,,RTE,17W100P100P0323L,44.59281,4.72593,Renewable energy,Hydro,
OTTMARSHEIM,,,,,FR,156.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0306L,47.77399,7.52246,Renewable energy,Hydro,
PASSY,,,,,FR,104.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0316I,45.91642,6.72592,Renewable energy,Hydro,
RANDENS,,,,,FR,124.2,Hydro,Run-of-river,,,,,,RTE,17W100P100P0312Q,45.52711,6.31996,Renewable energy,Hydro,
RHINAU,,,,,FR,152.0,Hydro,Run-of-river,,,,2016.0,,RTE,17W100P100P0304P,48.28412,7.67728,Renewable energy,Hydro,
SAINT PIERRE COGNET,,,,,FR,101.0,Hydro,Run-of-river,,,,,,RTE,17W100P100P0317G,44.87249,5.77319,Renewable energy,Hydro,
SAINT-PIERRE,,,,,FR,122.0,Hydro,Run-of-river,,,,1983.0,,RTE,17W100P100P03299,,,Renewable energy,Hydro,
SAUSSAZ,,,,,FR,145.4,Hydro,Run-of-river,,,,,,RTE,17W100P100P0309F,45.20992,6.47663,Renewable energy,Hydro,
STRASBOURG,,,,,FR,147.8,Hydro,Run-of-river,,,,2016.0,,RTE,17W100P100P0308H,48.52561,7.79456,Renewable energy,Hydro,
VALLABREGUES,,,,,FR,210.0,Hydro,Run-of-river,,,,1970.0,,RTE,17W100P100P0327D,43.82415,4.64349,Renewable energy,Hydro,
VOGELGRUN,,,,,FR,140.5,Hydro,Run-of-river,,,,,,RTE,17W100P100P0311S,48.0203,7.57393,Renewable energy,Hydro,
AIGLE,,,,,FR,360.0,Hydro,Reservoir,,,,,,RTE,17W100P100P0279Z,45.24373,2.22483,Renewable energy,Hydro,
BATHIE,,,,,FR,576.0,Hydro,Reservoir,,,,2016.0,,RTE,17W100P100P0280D,45.68545,6.62249,Renewable energy,Hydro,
BORT,,,,,FR,235.0,Hydro,Reservoir,,,,,,RTE,17W100P100P0281B,45.41269,2.49862,Renewable energy,Hydro,
BROMMAT,,,,,FR,406.0,Hydro,Reservoir,,,,,,RTE,17W100P100P02829,44.76793,2.68415,Renewable energy,Hydro,
COMBE D'AVRIEUX,,,,,FR,123.0,Hydro,Reservoir,,,,,,RTE,17W100P100P02837,45.21348,6.72053,Renewable energy,Hydro,
CURBANS,,,,,FR,139.0,Hydro,Reservoir,,,,,,RTE,17W100P100P02845,44.42078,6.02016,Renewable energy,Hydro,
MALGOVERT,,,,,FR,297.0,Hydro,Reservoir,,,,,,RTE,17W100P100P02853,45.61787,6.79074,Renewable energy,Hydro,
MONTEYNARD,,,,,FR,366.0,Hydro,Reservoir,,,,,,RTE,17W100P100P02861,44.96118,5.68874,Renewable energy,Hydro,
MONTPEZAT,,,,,FR,131.8,Hydro,Reservoir,,,,,,RTE,17W100B100P0287S,44.69026,4.27215,Renewable energy,Hydro,
ORAISON,,,,,FR,187.0,Hydro,Reservoir,,,,,,RTE,17W100P100P0288Y,43.92101,5.92438,Renewable energy,Hydro,
