None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File,projectID,projectID,projectID,projectID
16,Bourg valence,Bourg les valence,Bourg les valence,Bourg les valence,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,186.0,180.0,180.0,180.0,,,,1968.0,44.956009,,45.011,44.96128,4.910227,,4.839,4.87221,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[5436],17W100P100P0320R,G894,[OEU133]
17,Brokdorf,Brokdorf,Brokdorf,Brokdorf,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,PP,PP,PP,PP,Germany,Germany,Germany,Germany,1480.0,1410.0,1440.0,1410.0,,,,1986.0,53.8508333333,,53.8506,53.851095,9.3447222222,,9.345,9.345944,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[5873],11WD2BRKW000294C,G1288,[BNA0157]
18,Brommat,Brommat,Brommat,Brommat,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,PP,France,France,France,France,333.46,406.0,444.0,406.0,,,,,44.068629,,44.768,44.76793,0.901918,,2.684,2.68415,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[5884],17W100P100P02829,G848,[OEU159]
19,Brunsbuttel,Brunsbüttel,Brunsbüttel ocgt,Brunsbüttel,Oil,Oil,Natural Gas,Oil,,,OCGT,OCGT,PP,,PP,PP,Germany,Germany,Germany,Germany,247.2,256.0,256.0,254.0,,,,1973.0,53.9,,53.8925,53.89251924,9.15,,9.2009,9.201135635,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[6003],11WD8BRUN1O----D,G350,"[BNA0163, BNA0161, BNA0164, BNA0162]"
20,Caderousse,Caderousse,Caderousse,Caderousse,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,195.18,156.0,156.0,156.0,,,,1975.0,44.139195,,44.096,44.09606,4.807906,,4.724,4.72329,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[6579],17W100P100P0325H,G955,[OEU134]
21,Chamas,Saint chamas,Saint chamas,Saint chamas,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,PP,France,France,France,France,150.0,159.0,165.0,159.0,,,,,43.549464,,43.527,43.52741,5.033244,,5.073,5.07342,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[38667],17W100P100P0296Z,G868,[OEU169]
22,Charlottenburg,Charlottenburg,Charlottenburg,Charlottenburg,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,OCGT,OCGT,CHP,,CHP,PP,Germany,Germany,Germany,Germany,200.0,213.0,214.0,211.0,,,,1975.0,52.5243681651,,52.5222,52.52185624,13.4105300903,,13.3093,13.31109524,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[7998],11WD8CHAR5X----K,G333,[BNA0074]
23,Chastang,Chastang,Chastang,Chastang,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Reservoir,Run-Of-River,PP,PP,PP,PP,France,France,France,France,282.6,293.0,300.0,293.0,,,,,45.131711,,45.151,45.15185,2.02334,,2.01,2.00985,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[8019],17W100P100P0302T,G879,[OEU135]
24,Cheylas,Cheylas,Cheylas le,Cheylas,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,PP,PP,France,France,France,France,497.12,485.0,480.0,485.0,,,,,45.373688,,45.3846,45.3846,5.993764,,6.0021,6.00207,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,"[24736, 8236]",17W100P100P0273A,G927,[OEU123]
25,Chooz,Chooz,Chooz,Chooz,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,3120.0,1500.0,3120.0,3000.0,,,,,50.09,,50.09,50.09136,4.7894444444,,4.789444444,4.79242,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[8542],17W100P100P01962,G1268,"[OEU198, OEU197]"
26,Civaux,Civaux,Civaux,Civaux,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,3122.0,1495.0,3122.0,2990.0,,,,,46.4566666667,,46.4563380303,46.45614,0.6527777778,,0.654807956874,0.6524,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[8758],17W100P100P0198Z,G1283,"[OEU199, OEU200]"
27,Claus,Claus,Claus,Clauscentrale,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,PP,,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,1278.0,1914.0,1280.0,1570.0,,,,,51.1392939704,,51.154,51.15409,5.88626861572,,5.9106,5.90803,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q32015,[8816],49W000000000069K,G471,"[OEU28, OEU29, OEU30, OEU31]"
28,Coche,Coche,Coche,Coche,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,PP,PP,France,France,France,France,310.0,320.0,300.0,320.0,,,,,45.4833333,,45.482,45.49667,6.5333333,,6.535,6.51038,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[23659],17W100P100P02748,G948,[OEU124]
29,Couesque,Couesque,Couesque,Couesque,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Reservoir,Run-Of-River,PP,PP,PP,PP,France,France,France,France,124.5,119.0,124.0,119.0,,,,,44.646063143,,44.696,44.69609,2.5674533844,,2.585,2.58555,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[9538],17W100P100P0313O,G849,[OEU136]
30,Curbans,Curbans,Curbans,Curbans,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,PP,France,France,France,France,138.9,139.0,165.0,139.0,,,,,44.428399,,44.4476,44.42078,6.038579,,6.0616,6.02016,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[9857],17W100P100P02845,G839,[OEU161]
31,Diemen,Diemen,Diemen,Diemen dm,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,PP,,CHP,PP,Netherlands,Netherlands,Netherlands,Netherlands,236.0,684.0,435.0,684.0,,,,,52.34013,,52.3384,52.33898,5.02002,,5.0218,5.02134,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,[10793],49W0000000000431,G478,"[OEU10, OEU11]"
32,Dk sollac,Dk,Dk dunkerque,Dk,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,CHP,,PP,PP,France,France,France,France,810.0,796.0,800.0,796.0,,,,2005.0,51.03,,51.04816,51.04628,2.36,,2.32547,2.31835,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[10943],17W100P100P0350I,G325,[OEU113]
33,Dolna odra,Dolna odra,Dolna odra,Dolna odra,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,,PP,,CHP,PP,Poland,Poland,Poland,Poland,1720.0,1362.0,1772.0,1362.0,,,,,53.205776,,53.207,53.20981,14.466333,,14.465,14.46696,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,[11034],19W000000000043C,G164,"[OEU260, OEU256, OEU257, OEU258, OEU259, OEU255]"
34,Donzere,Donzere mondragon,Bollene,Donzere mondragon,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,354.0,348.0,354.0,348.0,,,,1952.0,44.440893,,44.304,44.30368,4.711792,,4.742,4.74217,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[11135],17W100P100P0324J,G890,[OEU137]
35,Dormagen rwe,Gud dormagen,Dormagen,Dormagen,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,CCGT,PP,,CHP,IPP,Germany,,Germany,Germany,580.0,586.8,560.0,586.3,,,,2000.0,51.08001594,,51.079,51.07908,6.827090823,,6.8288,6.82871,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[11163],11WD7BRAU5G-KW-N,G339,[BNA0199]
36,Dychow,Dychów,Dychow,Dychów,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,PP,PP,Poland,Poland,Poland,Poland,79.5,85.0,90.0,85.0,,,,,51.9864659267,,51.9883,51.56076,15.0608825684,,15.053333,15.45145,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,[11576],19W000000000272Y,G1010,"[OEU261, OEU262, OEU263]"
37,Elsta,Tnz elsta,Elsta,Elsta,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,CHP,,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,475.0,456.0,460.0,475.0,,,,,51.31,,51.3331,51.33319,3.777778,,3.7787,3.78947,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,[12352],49W000000000048S,G486,[OEU38]
38,Emsland lingen,Emsland,Lingen emsland,Emsland,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,"CCGT, Steam Turbine","CHP, PP",,CHP,PP,Germany,Germany,Germany,Germany,1793.25,1820.0,886.0,3173.0,,,,1973.0,52.498673435,,52.4828,52.481878,7.311361982,,7.3039,7.306658,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,"[12440, 12439]",11WD7EMSL-G-KW-T,G336,"[BNA0605, BNA0604, BNA0603, BNA0602, BNA0606, BNA0607]"
39,Erzhausen,Psw erzhausen,Erzhausen,Erzhausen,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,PP,PP,Germany,,Germany,Germany,246.0,228.0,220.0,220.0,,,,1964.0,51.8666667,,51.899,51.89912,9.9666667,,9.9243,9.92452,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[12680],11WD2ERZH0002682,G957,[BNA0558]
40,Esteve,Saint esteve,Saint esteve janson,Saint esteve,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,PP,France,France,France,France,141.1,141.0,156.0,141.0,,,,,44.1833333,,43.692,43.69049,6.1666667,,5.385,5.38489,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[38682],17W100P100P0298V,G869,[OEU170]
41,Etienne cantales,St etienne cantales,Saint etienne cantales,St etienne cantales,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,PP,France,France,France,France,106.5,106.5,105.0,106.5,,,,,44.946827,,44.945,44.94516,2.224177,,2.219,2.21906,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[38683],17W100P100P02950,G873,[OEU176]
42,Fessenheim,Fessenheim,Fessenheim,Fessenheim,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,1840.0,880.0,1840.0,1760.0,,,,,47.917441,,47.9031515765,47.90303,7.536985,,7.56311976401,7.56308,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[13363],17W100P100P0207N,G1273,"[OEU209, OEU210]"
43,Fessenheim hydro,Fessenheim,Fessenheim,Fessenheim,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,172.0,175.0,166.0,175.0,,,,,47.917441,,47.915,47.91466,7.536985,,7.571,7.57067,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[13364],17W100P100P0303R,G896,[OEU138]
44,Flamanville,Flamanville,Flamanville,Flamanville,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,2764.0,1330.0,2764.0,2660.0,,,,,49.5363888889,,49.5365739,49.53671,-1.8816666667,,-1.88234010604,-1.88229,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[13539],17W100P100P0209J,G1277,"[OEU212, OEU211]"
45,Franken,Franken,Franken,Franken,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Steam Turbine,CCGT,CHP,,PP,PP,Germany,Germany,Germany,Germany,493.0,823.0,843.0,823.0,,,,1973.0,49.447778,,49.4209,49.420836,11.068333,,11.0081,11.007737,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[13964],11WD2GEBE000177K,G331,"[BNA0745, BNA0744]"
46,Gelderland,Gelderland kv,Gelderland,Gelderland cg,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,PP,,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,635.0,592.0,590.0,592.0,,,,,51.85768,,51.8561,51.85607,5.83304,,5.8294,5.83043,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q12015,[14847],49W000000000076N,G122,[OEU13]
47,Genissiat seyssel,Genissiat,Genissiat,Genissiat,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Reservoir,Run-Of-River,PP,PP,PP,PP,France,France,France,France,396.0,420.0,420.0,420.0,,,,1948.0,45.9,,46.053,46.05271,6.1166667,,5.813,5.81285,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[14903],17W100P100P0319C,G825,[OEU139]
48,Gersteinwerk,Gersteinwerk,Gersteinwerk,Gersteinwerk,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,"OCGT, Steam Turbine, CCGT",PP,,PP,PP,Germany,Germany,Germany,Germany,897.0,2004.5,1285.0,1397.0,,,,1973.0,51.67338156,,51.6732,51.672453,7.707977812,,7.7141,7.709947,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[14984],11WD7GERS-X-KW-C,G345,"[BNA1041, BNA1042, BNA1043, BNA1046b, BNA1044, BNA1039, BNA1040, BNA1045]"
49,Gerstheim,Gerstheim,Gerstheim,Gerstheim,Hydro,Hydro,Hydro,Hydro,,Run-of-river,Run-Of-River,Run-Of-River,PP,PP,PP,PP,France,France,France,France,95.2,140.5,141.0,140.5,,,,,48.381424,,48.404,48.40385,7.703083,,7.728,7.72775,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[14985],17W100P100P0310U,G861,[OEU140]
50,Goesgen,Kernkraftwerk gösgen,Goesgen,Gösgen,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,CHP,PP,PP,PP,Switzerland,Switzerland,Switzerland,Switzerland,1020.0,1020.0,1020.0,1035.0,,,,1979.0,47.3661111111,,47.3656,47.36552,7.9666666667,,7.9671,7.96779,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Schweizerische Eidgenossenschaft,[15364],12W-0000000056-1,G1305,[OEU1034]
51,Golfech,Golfech,Golfech,Golfech,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,PP,PP,PP,PP,France,France,France,France,2726.0,1310.0,2726.0,2620.0,,,,,44.1066666667,,44.1060281618,44.10479,0.8452777778,,0.844260231019,0.84606,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[15419],17W100P100P0211W,G1282,"[OEU214, OEU213]"
52,Grand maison,Grand maison,Grand maison,Grand maison,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,PP,PP,France,France,France,France,1804.24,1690.0,1800.0,1690.0,,,,,45.159234,,45.146,45.20597,6.079836,,6.051,6.11719,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[15708],17W100P100P02756,G925,[OEU125]
53,Guillerme,Saint guillerme,St. guillerme,Saint guillerme,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,PP,France,France,France,France,114.6,116.0,116.0,116.0,,,,,45.054847,,45.031,45.03048,6.029845,,6.079,6.07914,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,[38692],17W100P100P0299T,G918,[OEU171]
54,Gundremmingen,Gundremmingen,Gundremmingen,Kernkraft gundremmingen,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,PP,PP,PP,PP,Germany,Germany,Germany,Germany,2688.0,2572.0,2688.0,2572.0,,,,1984.0,48.5147222222,,48.51488,48.51556,10.4022222222,,10.4012,10.3998924,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[16304],11WD7KRBG1K-KW-V,G1285,"[BNA0381, BNA0382]"
55,Heilbronn,Hkw heilbronn,Heilbronn,Heilbronn,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,CHP,CHP,CHP,CHP,Germany,,Germany,Germany,1010.0,778.0,1066.0,1028.0,,,,1965.0,49.1765714,,49.176,49.177334,9.208261299,,9.2073,9.206318,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[17333],11WD4HLBR1CS---A,G53,"[BNA0432, BNA0434, BNA0433]"
56,Hemweg,Hemweg,Hemweg,Hemweg hw,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,PP,,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,1321.0,1090.0,680.0,650.0,,,,,52.40535,,52.4049,52.40537,4.84664,,4.8465,4.84482,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q32015,[17454],49W000000000045Y,G124,[OEU16]
57,Herdecke cuno,Herdecke,Herdecke,Cuno herdecke,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,CCGT,CHP,,PP,CHP,Germany,Germany,Germany,Germany,421.0,424.0,417.0,417.0,,,,2007.0,51.4,,51.403,51.40313,7.4333333,,7.4144,7.4155,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[17529],11WD7GARE5XHEKWQ,G341,[BNA0442]
58,Herne,Herne,Herne,Herne,Hard Coal,Coal,Hard Coal,Hard Coal,,,Steam Turbine,Steam Turbine,CHP,,CHP,"PP, CHP",Germany,Germany,Germany,Germany,950.0,740.0,950.0,862.0,,,,1963.0,51.55,,51.5502,51.550753,7.2166667,,7.18727,7.187481,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,[17557],11WD7HERN2S--KWU,G74,"[BNA0447, BNA0450, BNA0449]"
