None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File
272,Engeweiher,,,Engeweiher,Engeweiher,Hydro,,,Hydro,Hydro,,,,Pumped storage with natural inflow,,Switzerland,,,Switzerland,Switzerland,5.3,,,5.0,5.0,,,,47.6934840779,,,,,8.63043555306,,,,,BFE,Switzerland Power Plant.csv
273,Muttsee,,,Muttsee,Muttsee,Hydro,,,Hydro,Hydro,,,,Reservoir,,Switzerland,,,Switzerland,Switzerland,4.4,,,4.4,4.4,,,,46.8464330851,,,,,9.01279515584,,,,,BFE,Switzerland Power Plant.csv
274,Ruchlig,,,Rüchlig hkw,Rüchlig,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,12.05,,,9.2,10.4,,,,47.3997456678,,,,,8.0498397695,,,,,BFE,Switzerland Power Plant.csv
275,Heiligkreuz,,,Heiligkreuz,Heiligkreuz,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,26.0,,,41.0,41.0,,,,46.347614362,46.2554573,,,,8.17519358557,6.9537826,,,,BFE,Switzerland Power Plant.csv
276,Ruppoldingen,,,Ruppoldingen,Ruppoldingen,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,23.0,,,23.0,23.0,,,,47.3122915561,46.8332439,,,,7.87770217417,9.2834557,,,,BFE,Switzerland Power Plant.csv
277,Mottec,,,Mottec,Mottec,Hydro,,,Hydro,Hydro,,,,Pumped storage,,Switzerland,,,Switzerland,Switzerland,69.0,,,71.0,71.0,,,,46.153036238,46.6370243,,,,7.61998842797,7.8327586,,,,BFE,Switzerland Power Plant.csv
278,Pallazuit,,,Pallazuit,Pallazuit,Hydro,,,Hydro,Hydro,,,,Reservoir,,Switzerland,,,Switzerland,Switzerland,40.0,,,33.4,33.4,,,,45.9810884929,47.4224096,,,,7.18949243196,7.5020019,,,,BFE,Switzerland Power Plant.csv
279,Flumenthal,,,Flumenthal,Flumenthal,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,14.49,,,23.4,23.4,,,,47.2291069149,46.8632481,,,,7.58995168618,10.4342982,,,,BFE,Switzerland Power Plant.csv
280,Neubrigg,,,Neubrigg,Neubrigg,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,26.0,,,26.0,26.0,,,,46.3961814647,47.1530964,,,,8.13424492723,7.2730972,,,,BFE,Switzerland Power Plant.csv
281,Palu ch,,,Palü,Palü,Hydro,,,Hydro,Hydro,,,,Reservoir,,Switzerland,,,Switzerland,Switzerland,10.0,,,10.4,10.4,,,,46.3900182161,,,,,10.0242813948,,,,,BFE,Switzerland Power Plant.csv
282,Tierfehd hintersand,,,Tierfehd hintersand,Tierfehd hintersand,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,40.0,,,42.0,42.0,,,,46.8761153436,,,,,8.98702934899,,,,,BFE,Switzerland Power Plant.csv
283,Lontsch,,,Am löntsch,Am löntsch,Hydro,,,Hydro,Hydro,,,,Reservoir,,Switzerland,,,Switzerland,Switzerland,88.0,,,89.1,89.1,,,,47.0566384819,46.4343195,,,,9.04911463355,7.1617642,,,,BFE,Switzerland Power Plant.csv
284,Kubel,,,Kubel,Kubel,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,15.01,,,14.5,14.5,,,,47.4019094764,,,,,9.32364063827,,,,,BFE,Switzerland Power Plant.csv
285,Erlenbach bkw,,,Erlenbach,Erlenbach,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,18.0,,,18.0,18.0,,,,46.6568821564,,,,,7.54811891222,,,,,BFE,Switzerland Power Plant.csv
286,Simmenfluh,,,Simmenfluh,Simmenfluh,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,9.0,,,9.0,9.0,,,,46.6727987868,,,,,7.62264084059,,,,,BFE,Switzerland Power Plant.csv
287,Ernen binn,,,Ernen,Ernen,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,34.0,,,33.0,33.0,,,,46.3911687446,47.6337191,,,,8.13015040964,8.7803575,,,,BFE,Switzerland Power Plant.csv
288,Chanet,,,Usine du chanet,Usine du chanet,Hydro,,,Hydro,Hydro,,,,Run-of-river,,Switzerland,,,Switzerland,Switzerland,4.4,,,4.4,4.4,,,,46.9592586149,,,,,6.82888645291,,,,,BFE,Switzerland Power Plant.csv
289,,,,Clauscentrale,Clauscentrale,,,,Other,Other,,,,,,,,,Netherlands,Netherlands,,,,510.0,510.0,,,,51.15409,51.1496099,,,,5.90803,5.9081338,,,,Tennet_Q12015,Netherlands Power Plant.csv
290,,,,Edh,Edh,,,,Natural Gas,Natural Gas,,,,,,,,,Netherlands,Netherlands,,,,112.0,112.0,,,,52.07659,52.0766465,,,,4.29065,4.2907038,,,,Tennet_Q12015,Netherlands Power Plant.csv
291,,,,Mk,Mk,,,,Natural Gas,Natural Gas,,,,,,,,,Netherlands,Netherlands,,,,103.0,103.0,,,,52.10157,52.100972,,,,5.07982,5.0784226,,,,Tennet_Q12015,Netherlands Power Plant.csv
292,,,,Cordemais,Cordemais,,,,Coal,Coal,,,,"Steam turbine, Hard coal",,,,,France,France,,,,1160.0,1160.0,,,,47.27712,,,,,-1.88012,,,,,RTE,France Power Plant.csv
293,,,,Cordemais,Cordemais,,,,Oil,Oil,,,,,,,,,France,France,,,,1370.0,1370.0,,,,47.27712,,,,,-1.88012,,,,,RTE,France Power Plant.csv
294,,,,Montereau,Montereau,,,,Oil,Oil,,,,,,,,,France,France,,,,370.0,370.0,,,,48.38045,,,,,2.85108,,,,,RTE,France Power Plant.csv
295,,,,Amfard,Amfard,,,,Natural Gas,Natural Gas,,,,,,,,,France,France,,,,260.0,260.0,,,,,,,,,,,,,,RTE,France Power Plant.csv
296,,,,Blenod,Blenod,,,,Natural Gas,Natural Gas,,,,,,,,,France,France,,,,427.0,427.0,,,,48.86959,,,,,6.08377,,,,,RTE,France Power Plant.csv
297,,,,Bouchain,Bouchain,,,,Natural Gas,Natural Gas,,,,,,,,,France,France,,,,575.0,575.0,,,,50.29774,,,,,3.31429,,,,,RTE,France Power Plant.csv
298,,,,Cycofos,Cycofos,,,,Natural Gas,Natural Gas,,,,,,,,,France,France,,,,428.0,428.0,,,,43.42801,,,,,4.88652,,,,,RTE,France Power Plant.csv
299,,,,Fr ga morant,Fr ga morant,,,,Natural Gas,Natural Gas,,,,,,,,,France,France,,,,401.0,401.0,,,,46.27282,,,,,3.30095,,,,,RTE,France Power Plant.csv
300,,,,Spem,Spem,,,,Natural Gas,Natural Gas,,,,,,,,,France,France,,,,480.0,480.0,,,,47.30265,,,,,-2.14028,,,,,RTE,France Power Plant.csv
301,,,,Montelimar,Montelimar,,,,Hydro,Hydro,,,,Run-of-river,,,,,France,France,,,,295.0,295.0,,,,44.59281,,,,,4.72593,,,,,RTE,France Power Plant.csv
302,,,,Saint pierre cognet,Saint pierre cognet,,,,Hydro,Hydro,,,,Run-of-river,,,,,France,France,,,,223.0,223.0,,,,44.87249,,,,,5.77319,,,,,RTE,France Power Plant.csv
303,,,,Vallabregues,Vallabregues,,,,Hydro,Hydro,,,,Run-of-river,,,,,France,France,,,,210.0,210.0,,,,43.82415,,,,,4.64349,,,,,RTE,France Power Plant.csv
304,,,,Aigle,Aigle,,,,Hydro,Hydro,,,,Reservoir,,,,,France,France,,,,360.0,360.0,,,,45.24373,,,,,2.22483,,,,,RTE,France Power Plant.csv
305,,,,Val giuf,Val giuf,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.5,1.5,,,,46.6713364433,,,,,8.75072947495,,,,,BFE,Switzerland Power Plant.csv
306,,,,Trun,Trun,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.6,0.6,,,,46.7435050176,,,,,8.98649363197,,,,,BFE,Switzerland Power Plant.csv
307,,,,Dardin casut,Dardin casut,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.4,0.4,,,,46.7573816308,,,,,9.04999337816,,,,,BFE,Switzerland Power Plant.csv
308,,,,Lunschania,Lunschania,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.94,0.94,,,,46.6601503473,,,,,9.18823038522,,,,,BFE,Switzerland Power Plant.csv
309,,,,Bargaus,Bargaus,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,2.82,2.82,,,,46.7931455833,,,,,9.27364512391,,,,,BFE,Switzerland Power Plant.csv
310,,,,Punt gronda segnas,Punt gronda segnas,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,2.62,2.62,,,,46.8384516549,,,,,9.26509335259,,,,,BFE,Switzerland Power Plant.csv
311,,,,Punt gronda platt alva,Punt gronda platt alva,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.64,0.64,,,,46.8384516549,,,,,9.26509335259,,,,,BFE,Switzerland Power Plant.csv
312,,,,Punt gronda tarschlims,Punt gronda tarschlims,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.3,0.3,,,,46.8384516549,,,,,9.26509335259,,,,,BFE,Switzerland Power Plant.csv
313,,,,Stenna flims flembach,Stenna flims,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.73,1.73,,,,46.8337568535,,,,,9.28289622392,,,,,BFE,Switzerland Power Plant.csv
314,,,,"Flims, felsbach karstwasser","Flims, felsbach karstwasser",,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.88,0.88,,,,46.8340905068,,,,,9.31765249379,,,,,BFE,Switzerland Power Plant.csv
315,,,,"Flims, felsbach bergwasser","Flims, felsbach bergwasser",,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.28,0.28,,,,46.8340905068,,,,,9.31765249379,,,,,BFE,Switzerland Power Plant.csv
316,,,,Mulin,Mulin,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.6,1.6,,,,46.833447951,,,,,9.34018135796,,,,,BFE,Switzerland Power Plant.csv
317,,,,Nufenen,Nufenen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.3,0.3,,,,46.5430537927,,,,,9.24795177052,,,,,BFE,Switzerland Power Plant.csv
318,,,,Splügen tambobach,Splügen tambobach,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.8,1.8,,,,46.5459228175,,,,,9.30973326414,,,,,BFE,Switzerland Power Plant.csv
319,,,,Preda bergün,Preda,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.9,0.9,,,,46.5874577736,,,,,9.77845017026,,,,,BFE,Switzerland Power Plant.csv
320,,,,Frauenkirch,Frauenkirch,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.7,0.7,,,,46.7688686224,,,,,9.80558112281,,,,,BFE,Switzerland Power Plant.csv
321,,,,Glaris,Glaris,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.13,1.13,,,,46.7360930283,,,,,9.77586865383,,,,,BFE,Switzerland Power Plant.csv
322,,,,Stalvedro julia,Stalvedro julia,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.65,0.65,,,,46.4796105068,,,,,9.6452128901,,,,,BFE,Switzerland Power Plant.csv
323,,,,Nandrò,Nandrò,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.59,1.59,,,,46.5681520979,,,,,9.5702754213,,,,,BFE,Switzerland Power Plant.csv
324,,,,Rabiusawerk,Sand rabiusa,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.71,0.71,,,,46.8404306281,,,,,9.54250541843,,,,,BFE,Switzerland Power Plant.csv
325,,,,Taschinas,Taschinas,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,11.33,11.33,,,,46.9828412314,,,,,9.64486330331,,,,,BFE,Switzerland Power Plant.csv
326,,,,Igiser mülbach landquart,Landquart,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.21,1.21,,,,46.9570649025,,,,,9.57336009547,,,,,BFE,Switzerland Power Plant.csv
327,,,,Ragaz,Ragaz,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.7,0.7,,,,47.0000948296,,,,,9.50115288825,,,,,BFE,Switzerland Power Plant.csv
328,,,,Valeis,Valeis,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.2,1.2,,,,47.0232622307,,,,,9.44809505335,,,,,BFE,Switzerland Power Plant.csv
329,,,,Grossbach,Grossbach,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.7,0.7,,,,47.0258051067,,,,,9.44161096561,,,,,BFE,Switzerland Power Plant.csv
330,,,,Sevelen,Sevelen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.14,1.14,,,,47.1209036183,,,,,9.48300188061,,,,,BFE,Switzerland Power Plant.csv
331,,,,Buchs vorderberg,Vorderberg,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.98,0.98,,,,47.1490022349,,,,,9.44582705102,,,,,BFE,Switzerland Power Plant.csv
332,,,,Buchs tobeläckerli,Tobeläckerli,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.69,0.69,,,,47.1562316902,,,,,9.46456548914,,,,,BFE,Switzerland Power Plant.csv
333,,,,Buchs altendorf,Altendorf buchs,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,3.56,3.56,,,,47.1569967916,,,,,9.46710077053,,,,,BFE,Switzerland Power Plant.csv
334,,,,Grabs bannwald,Bannwald,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.44,0.74,,,,47.17262767,,,,,9.41689346785,,,,,BFE,Switzerland Power Plant.csv
335,,,,Grabs löchli,Löchli,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.43,1.43,,,,47.1757270944,,,,,9.43020364886,,,,,BFE,Switzerland Power Plant.csv
336,,,,Lienz,Lienz,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.35,0.35,,,,47.2751747537,,,,,9.525398933,,,,,BFE,Switzerland Power Plant.csv
337,,,,Montlingen,Montlingen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.37,0.37,,,,47.3392405944,,,,,9.57926456954,,,,,BFE,Switzerland Power Plant.csv
338,,,,Lochmühle,Lochmühle,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.63,0.63,,,,47.4603255412,,,,,9.43979811879,,,,,BFE,Switzerland Power Plant.csv
339,,,,Morgental abwasser,Morgental,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.2,1.2,,,,47.5005666197,,,,,9.42790432392,,,,,BFE,Switzerland Power Plant.csv
340,,,,Neuhausen,Neuhausen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,5.6,5.6,,,,47.6798806585,,,,,8.61494656661,,,,,BFE,Switzerland Power Plant.csv
341,,,,Giessen,Giessen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.9,1.9,,,,47.2178452198,,,,,9.20939259186,,,,,BFE,Switzerland Power Plant.csv
342,,,,Nesslau ijentalerbach,Nesslau ijentalerbach,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.25,1.25,,,,47.2216373141,,,,,9.18495516077,,,,,BFE,Switzerland Power Plant.csv
343,,,,Herrentöbeli,Herrentöbeli,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.91,0.91,,,,47.2447757187,,,,,9.17791678684,,,,,BFE,Switzerland Power Plant.csv
344,,,,Trempel,Trempel,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.8,1.8,,,,47.2494883643,,,,,9.16366835457,,,,,BFE,Switzerland Power Plant.csv
345,,,,Im roos,Im roos,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.86,0.86,,,,47.2585402791,,,,,9.12960201415,,,,,BFE,Switzerland Power Plant.csv
346,,,,"Stadtbrücke, lichtensteig","Stadtbrücke, lichtensteig",,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.57,0.57,,,,47.3232416909,,,,,9.08494859192,,,,,BFE,Switzerland Power Plant.csv
347,,,,Dietfurt,Dietfurt,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.98,0.98,,,,47.3444435336,,,,,9.08070597557,,,,,BFE,Switzerland Power Plant.csv
348,,,,Soor,Soor,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.98,0.98,,,,47.3564409783,,,,,9.07842778781,,,,,BFE,Switzerland Power Plant.csv
349,,,,Mülau,Mülau,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.37,1.37,,,,47.410872339,,,,,9.07811617053,,,,,BFE,Switzerland Power Plant.csv
350,,,,Niederglatt gossau,Niederglatt,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.35,0.35,,,,47.4314001196,,,,,9.17553013871,,,,,BFE,Switzerland Power Plant.csv
351,,,,Bischofszell,Bischofszell papierfabrik,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.02,1.02,,,,47.4930279409,,,,,9.23422119529,,,,,BFE,Switzerland Power Plant.csv
352,,,,Seealp wasserauen,Wasserauen,,,,Hydro,Hydro,,,,Reservoir,,,,,Switzerland,Switzerland,,,,2.5,2.5,,,,47.2807040389,,,,,9.42116368952,,,,,BFE,Switzerland Power Plant.csv
353,,,,Rossfall,Rossfall,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.38,0.38,,,,47.2868596876,,,,,9.27779379793,,,,,BFE,Switzerland Power Plant.csv
354,,,,Ew zürchersmühle,Zürchersmühle,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.36,0.36,,,,47.3318002224,,,,,9.29178339624,,,,,BFE,Switzerland Power Plant.csv
355,,,,Sittertal,Sittertal,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.46,0.46,,,,47.410010524,,,,,9.32339732284,,,,,BFE,Switzerland Power Plant.csv
356,,,,Burentobel,Burentobel,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.3,0.3,,,,47.4191628646,,,,,9.34135118586,,,,,BFE,Switzerland Power Plant.csv
357,,,,Erlenholz,Erlenholz,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.48,0.48,,,,47.4572264157,,,,,9.36804900144,,,,,BFE,Switzerland Power Plant.csv
358,,,,Thurfeld,Thurfeld,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.7,1.7,,,,47.5192647047,,,,,9.20708697249,,,,,BFE,Switzerland Power Plant.csv
359,,,,Au schönenberg,Au schönenberg,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,2.3,2.3,,,,47.5239809806,,,,,9.18679102533,,,,,BFE,Switzerland Power Plant.csv
360,,,,Thur,Thur,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.7,0.7,,,,47.5502758294,,,,,9.1427446335,,,,,BFE,Switzerland Power Plant.csv
361,,,,Weinfelden model,Weinfelden model,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.4,0.4,,,,47.5608510601,,,,,9.1021506291,,,,,BFE,Switzerland Power Plant.csv
362,,,,Weinfelden mühle,Weinfelden mühle,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.4,0.4,,,,47.5607188536,,,,,9.09882399502,,,,,BFE,Switzerland Power Plant.csv
363,,,,Widen,Widen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.83,0.83,,,,47.5647136507,,,,,9.07728471582,,,,,BFE,Switzerland Power Plant.csv
364,,,,Murkart,Murkart,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.34,0.34,,,,47.5374877465,,,,,8.91438251912,,,,,BFE,Switzerland Power Plant.csv
365,,,,"Schlossmühle, frauenfeld","Schlossmühle, frauenfeld",,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.31,0.31,,,,47.5538872916,,,,,8.89796299427,,,,,BFE,Switzerland Power Plant.csv
366,,,,Kollbrunn,Kollbrunn,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.37,0.37,,,,47.4592833018,,,,,8.76883185531,,,,,BFE,Switzerland Power Plant.csv
367,,,,Sennhof,Sennhof,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.47,0.47,,,,47.4661750376,,,,,8.75613687859,,,,,BFE,Switzerland Power Plant.csv
368,,,,Pfungen,Pfungen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.35,0.35,,,,47.5214894015,,,,,8.64091948594,,,,,BFE,Switzerland Power Plant.csv
369,,,,Freienstein,Freienstein,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.6,0.6,,,,47.528692361,,,,,8.58703091713,,,,,BFE,Switzerland Power Plant.csv
370,,,,Trümpler,Trümpler,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.42,0.42,,,,47.3456402562,,,,,8.73992340849,,,,,BFE,Switzerland Power Plant.csv
371,,,,Wunderklingen,Wunderklingen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.42,0.42,,,,47.6978059267,,,,,8.4073779118,,,,,BFE,Switzerland Power Plant.csv
372,,,,Rheinkraftwerk säckingen,Säckingen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,73.6,73.6,,,,47.5578674161,46.6979839,,,,7.95679136018,10.0943311,,,,BFE,Switzerland Power Plant.csv
373,,,,Rheinfelden,Rheinfelden,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,101.8,101.8,,,,47.5688531592,47.1317799,,,,7.8129757269,7.5398908,,,,BFE,Switzerland Power Plant.csv
374,,,,Wyhlen,Wyhlen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,38.5,38.5,,,,47.5387456625,,,,,7.70770633233,,,,,BFE,Switzerland Power Plant.csv
375,,,,Moutier,Moutier,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.92,0.92,,,,47.2656875543,,,,,7.34903942074,,,,,BFE,Switzerland Power Plant.csv
376,,,,Choindez,Choindez,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.58,0.58,,,,47.3222821543,,,,,7.37844081384,,,,,BFE,Switzerland Power Plant.csv
377,,,,Bassecourt,Bassecourt,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.03,1.03,,,,47.331015929,,,,,7.23197724871,,,,,BFE,Switzerland Power Plant.csv
378,,,,Bellerive,Bellerive,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.52,0.52,,,,47.3828021223,,,,,7.35916951758,,,,,BFE,Switzerland Power Plant.csv
379,,,,Juramill,Juramill,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.35,0.35,,,,47.4105191351,,,,,7.49467015206,,,,,BFE,Switzerland Power Plant.csv
380,,,,Laufen wasserfall,Laufen wasserfall,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.72,0.72,,,,47.4196898837,,,,,7.50117302601,,,,,BFE,Switzerland Power Plant.csv
381,,,,Nenzlingen,Nenzlingen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.34,0.34,,,,47.4438497021,,,,,7.5478685338,,,,,BFE,Switzerland Power Plant.csv
382,,,,Moos,Moos,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.98,0.98,,,,47.4387770608,,,,,7.58113219065,,,,,BFE,Switzerland Power Plant.csv
383,,,,Büttenen,Büttenen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.05,1.05,,,,47.4428086273,,,,,7.59347246718,,,,,BFE,Switzerland Power Plant.csv
384,,,,Dornachbrugg,Dornachbrugg,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.54,1.54,,,,47.4890184953,,,,,7.60740615434,,,,,BFE,Switzerland Power Plant.csv
385,,,,Neuewelt,Neuewelt,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.07,1.07,,,,47.5257818674,,,,,7.62173011689,,,,,BFE,Switzerland Power Plant.csv
386,,,,Kembs,Kembs centrale dotation,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,155.0,166.25,,,,47.6549559529,46.953831,,,,7.51941590623,9.565742,,,,BFE,Switzerland Power Plant.csv
387,,,,Meiringen,Meiringen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,2.65,2.65,,,,46.7302677519,,,,,8.19434851644,,,,,BFE,Switzerland Power Plant.csv
388,,,,Schattenhalb,Schattenhalb,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,9.7,16.1,,,,46.7194470022,,,,,8.18458296836,,,,,BFE,Switzerland Power Plant.csv
389,,,,Giessbach,Giessbach,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.9,0.9,,,,46.7344427309,,,,,8.01888764388,,,,,BFE,Switzerland Power Plant.csv
390,,,,Saxettal geissbrunnen,Geissbrunnen,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.48,0.48,,,,46.6283781404,,,,,7.82997757095,,,,,BFE,Switzerland Power Plant.csv
391,,,,Saxettal kammri,Kammri,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,0.8,0.8,,,,46.65762105,,,,,7.853444546,,,,,BFE,Switzerland Power Plant.csv
392,,,,Interlaken,Interlaken,,,,Hydro,Hydro,,,,Run-of-river,,,,,Switzerland,Switzerland,,,,1.12,1.12,,,,46.6823320103,,,,,7.8484710991,,,,,BFE,Switzerland Power Plant.csv
